No.,geographic location,,,,,spatial form,,,site selecting,,,,process of construction,,,,,,notes,
,city,circuit,prefecture,county,order,water body,range,mark,distance from the city,close to traffic hubs,connected with existing waters,combined with scenic areas,year of construction/renovation (reign era),year of construction/renovation (common era),construction or renovation,Identity of the Founder,collabrating with religious organisations,economising resources and caring for the people,data source,orginal text
41,Nankang,Jiangnan East Circuit,Nankang Military Prefecture,,1,lake or pond,within 2 li,pavilion,no more than 3 li outside,yes,unknown,no,the Chunxi Period,1174-1189,initial construction,prefecture chief,unknown,unknown,£¨Í¬ÖÎ£©ĞÇ×Ó_Ö¾14¾í ĞÇ×Ó_Ö¾¾íÖ®ËÄ ÇåÍ¬ÖÎÊ®Äê¿Ì±¾,·ÅÉú³ØÍ¤ÔÚ_¸£ĞÇ_ÍâËÎ¿¤ÊØÖì¶ËÕÂ½¨½ñ_
42,Ningguo,Jiangnan East Circuit,Ningguo Prefecture,,1,lake or pond,within 2 li,unknown,inside,no,unknown,no,unknown,unknown,unknow,unknown,unknown,unknown,£¨__£©__¸®Ö¾20¾í __¸®Ö¾¾íÆß Ã÷__¿Ì±¾,·ÅÉú³ØÍ¤ ÌÆÇ¬ÔªÖĞ·î_½¨ÔÚ³Ç±±ËÎÇ¬µÀÖĞ¸Ä³ÇÄÏ×£¼ÒÌÁÊØ__ÖÙ¸Ä_´¨_Î÷ÓĞ__Ö¾ÔÆËÎÌììû¶¡ËÈ_½­»´µÈ__ÓĞ·ÅÉú³ØÕß¿£Ö®¼´´Ë
43,Ningguo,Jiangnan East Circuit,Ningguo Prefecture,,2,lake or pond,within 2 li,unknown,inside,no,unknown,no,unknown,unknown,unknow,unknown,unknown,unknown,£¨__£©__¸®Ö¾20¾í __¸®Ö¾¾íÆß Ã÷__¿Ì±¾,·ÅÉú³ØÍ¤ ÌÆÇ¬ÔªÖĞ·î_½¨ÔÚ³Ç±±ËÎÇ¬µÀÖĞ¸Ä³ÇÄÏ×£¼ÒÌÁÊØ__ÖÙ¸Ä_´¨_Î÷ÓĞ__Ö¾ÔÆËÎÌììû¶¡ËÈ_½­»´µÈ__ÓĞ·ÅÉú³ØÕß¿£Ö®¼´´Ë
44,Ningguo,Jiangnan East Circuit,Ningguo Prefecture,,3,river or stream,unknown,bridge,inside,yes,yes,no,the Jiaxi Period,1237-1240,renovation or relocation and reconstruction,unknown,unknown,unknown,£¨__£©__¸®Ö¾20¾í __¸®Ö¾¾íÆß Ã÷__¿Ì±¾,·ÅÉú³ØÍ¤ ÌÆÇ¬ÔªÖĞ·î_½¨ÔÚ³Ç±±ËÎÇ¬µÀÖĞ¸Ä³ÇÄÏ×£¼ÒÌÁÊØ__ÖÙ¸Ä_´¨_Î÷ÓĞ__Ö¾ÔÆËÎÌììû¶¡ËÈ_½­»´µÈ__ÓĞ·ÅÉú³ØÕß¿£Ö®¼´´Ë
45,Xinzhou,Jiangnan East Circuit,Xinzhou,,1,lake or pond,within 2 li,pavilion,inside,yes,unknown,no,the Chunyou Period,1241-1252,renovation or relocation and reconstruction,prefecture chief,yes,unknown,£¨¼Î¾¸£©_ĞÅ¸®Ö¾20¾í _ĞÅ¸®Ö¾¾íËÄ Ã÷¼Î¾¸¿Ì±¾,_ÉúÍ¤ ÔÚ¿¤³ÇÄÏ¾°_ËÂ_Íâ×£_¼È_¼´´Ë·ÅÉúÒòÃûËÎ´¾__¿¤ÊØÕÂ_ÖØ½¨
46,Fuzhou,Jiangnan West Circuit,Fuzhou,,1,lake or pond,2-10 li,pavilion,inside,no,yes,yes,the 2rd year of the Tiansheng Period,1024,initial construction,unknown,no,unknown,¡¶È«ËÎÎÄµÚÈı°ÙËÄÊ®°Ë²á¡¤¾í°Ë_ÎåËÄ¡¤¸§Öİ·ÅÉúÍ¤¼Ç¡·,
47,Chongren,Jiangnan West Circuit,Xinzhou,Chongren County,1,river or stream,unknown,others,no more than 3 li outside,no,yes,no,the 7th year of the Jiayou Period,1062,initial construction,prefecture chief,no,unknown,¡¶È«ËÎÎÄµÚÒ»°Ù¾ÅÊ®Èı²á¡¤¾íËÄ¶şÁùÈı¡¤³çÈÊÏØ·ÅÉú³Ø¼Ç¡·,
48,Ganzhou,Jiangnan West Circuit,Ganzhou Prefecture,,1,lake or pond,within 2 li,pavilion,no more than 3 li outside,yes,yes,no,the Jiatai Period,1201-1204,renovation or relocation and reconstruction,prefecture chief,unknown,unknown,£¨Ìì_£©_Öİ¸®Ö¾20¾í _Öİ¸®Ö¾¾íÖ®¶ş Çå_ÖÎÊ®ÆßÄê¿Ì±¾,·ÅÉú³ØÔÚÎ÷³ÇÍâÖªÕş_ÏÂ°øÓĞÍ¤Ãû_ÕÂ¿¤ÊØ__·ê¸ÄÔ»ÓÀ´¨ËÎ__¹ï__ÌìÏÂ¸÷ÖÃ·ÅÉú³Ø½ñ_
49,Wan'an,Jiangnan West Circuit,Jizhou,Wan'an County,1,lake or pond,2-10 li,pavilion,inside,no,yes,no,unknown,unknown,unknow,unknown,unknown,unknown,£¨Í¬ÖÎ£©_°²_Ö¾20¾í _°²_Ö¾¾íÒ» ÇåÍ¬ÖÎÊ®¶şÄê¿Ì±¾,ÈÊÇ¢Í¤ÔÚ_ÄÏ·ÅÉú³ØÅÔÒòÉñÌ¶ÉÏÏÂÈıÀï_³ØÔªËÎ__ÌìÏÂÁ¢³Ø·ÅÉú½û_²¶ÅÔ½¨Í¤Ô»ÈÊÇ¢áá¸üÔ»´¨Ó¾
50,Yongfeng,Jiangnan West Circuit,Jizhou,Yongfeng County,1,river or stream,unknown,unknown,no more than 3 li outside,no,yes,no,the 15th year of the Shaoxing Period,1145,renovation or relocation and reconstruction,unknown,no,yes,¡¶È«ËÎÎÄµÚÒ»°Ù°ËÊ®Áù²á¡¤¾íËÄ_¾ÅÎå¡¤·ÅÉú³Ø¼Ç¡·,Ç°Õß½ØÏªÎª³Ø
51,Yongfeng,Jiangnan West Circuit,Jizhou,Yongfeng County,2,lake or pond,within 2 li,pavilion,inside,no,yes,no,the 18th year of the Shaoxing Period,1148,renovation or relocation and reconstruction,county chief,no,yes,¡¶È«ËÎÎÄµÚÒ»°Ù°ËÊ®Áù²á¡¤¾íËÄ_¾ÅÎå¡¤·ÅÉú³Ø¼Ç¡·,Ç°Õß½ØÏªÎª³Ø
52,Jianchang,Jiangnan West Circuit,Jianchang Military Prefecture,,1,river or stream,unknown,bridge,no more than 3 li outside,no,yes,no,the 5th year of the Jiayou Period,1056-1063,initial construction,prefecture chief,unknown,unknown,£¨¿µÎõ£©ÄÏ³Ç_Ö¾12¾í ÄÏ³Ç_Ö¾¾íÖ®Ò» Çå¿µ_Ê®¾ÅÄê_ĞŞ±¾,³ÇÍâ_ÓĞÌ«Æ½_ ¶Å_´¨_Íâ__¸¡_ËÎ¼Î_ÎåÄê¿¤ÊØ_ÓĞ¿¡___Ê¯_Ê®Èı_¼ÜÎİÁùÊ®ËÄéºÃû___ÒÔÌì×Ó_ÈÕÊØ¡õ¡õ´Ë·ÅÉú×£_Ò²¼Î¶¨Ê®ÈıÄê_ì¶»ğ¿¤ÊØÍôÃŞ¡õÁî»ÆÒÔ´ó¼ÜÁº_Ê¯ÒÔÍ¨_____¶şÄê¿¤ÊØ¡õÄ¬×÷Í¤_ÖĞÔ»_Éú¾ÅÄê¿¤ÊØ_¿É·î___Ê¯¡õ__ÅëÔ×
53,Nanfeng,Jiangnan West Circuit,Jianchang Military Prefecture,Nanfeng County,1,river or stream,2-10 li,unknown,no more than 3 li outside,no,yes,no,unknown,unknown,unknow,unknown,unknown,unknown,£¨ÕıµÂ£©½¨²ı¸®Ö¾19¾í ½¨²ı¸®Ö¾¾íÖ®Ê®Ò» Ã÷ÕıµÂÊ®¶şÄê¿Ì±¾,·ÅÉú³Ø ÔÚ_ÄÏ_Ë®ÉÏ×Ô½ğ_Ì¶ÏÂÖÁÉñ__ËÎ_ÌìÏÂÁ¢·ÅÉú³ØÓĞË¾½û_Ôª³õ½û³Ú¶ø³ØÃû_´æ
54,Jiangzhou,Jiangnan West Circuit,Jiangzhou,,1,lake or pond,2-10 li,pavilion,no more than 3 li outside,no,yes,yes,the 5th year of the Shaoxi Period,1194,renovation or relocation and reconstruction,prefecture chief,no,yes,¡¶È«ËÎÎÄµÚ¶ş°Ù¾ÅÊ®²á¡¤¾íÁùÎå¾ÅÆß¡¤½­ÖİÖØ½¨ÑÌË®Í¤¼Ç¡·,
55,Wuning,Jiangnan West Circuit,Longxing Prefecture,Wuning County,1,lake or pond,within 2 li,pavilion,no more than 3 li outside,no,yes,yes,unknown,unknown,unknow,unknown,unknown,unknown,£¨¼Î¾¸£©½­Î÷Í¨Ö¾37¾í ½­Î÷Í¨Ö¾¾íÖ®ËÄ Ã÷¼Î¾¸¿Ì±¾,_Ì¶ ÔÚÎä__Ò»ÀïÆäÉî_ÕÉËÎ_ÖÃ·ÅÉú³ØÓÚÆä_áá½¨·ÅÉúÍ¤Ì¶Ö®½ü°¶ÓĞ_Ê¯Ãû_Ì¶Ê¯___Õß¶à¿Ì_ÆäÉÏ
56,Nan'an,Jiangnan West Circuit,Nan'an Military Prefecture,,1,river or stream,2-10 li,pavilion,no more than 3 li outside,yes,yes,no,the Tianxi Period,1017-1021,initial construction,unknown,unknown,unknown,£¨¼Î¾¸£©ÄÏ°²¸®Ö¾35¾í ÄÏ°²¸®Ö¾¾íÖ®¾Å Ã÷¼Î¾¸Ê®ÎåÄê¿Ì±¾,·ÅÉú³Ø ËÎÌììûÖĞÖÃÒÔ×£_×Ô¸¡_ÖÁÊ¯±Ú²¶_ÓĞ½ûÖª_Àî´óÕı_Í¤ÆäÉÏ±âÔ»ºÃÉú___Ñå³õ_Ö®½ñÍö
57,Xingguo,Jiangnan West Circuit,Xingguo Military Prefecture,,1,lake or pond,within 2 li,pavilion,inside,no,unknown,no,unknown,unknown,unknow,unknown,no,unknown,¡¶ÓßµØ¼ÍÊ¤¡¤¾íÈıÊ®Èı¡¤¾°ÎïÏÂ¡·,
58,Pingxiang,Jiangnan West Circuit,Yuanzhou,Pingxiang County,1,unknown,unknown,pavilion,inside,no,unknown,no,the Shaoxing Period,1131-1162,initial construction,county chief,unknown,unknown,£¨Í¬ÖÎ£©Æ¼__Ö¾10¾í Æ¼__Ö¾¾íÒ» ÇåÍ¬ÖÎÊ®Ò»Äê¿¯±¾,_Ó¾_ÔÚ_ÖÎÎ÷ËÎ_____·ÅÉúÍ¤ááÖª_Íõ_½¨ÊÇ_È¡___Ó¾Ö®_ÅÔÓĞ_ÇåÍ¤Ôª»ÙºéÎä³õÖØ½¨½ñÛÜ
59,Junzhou,Jiangxi South Circuit,Junzhou,,1,river or stream,unknown,unknown,no more than 3 li outside,no,yes,no,unknown,unknown,unknow,unknown,no,unknown,¡¶½¨Ñ×ÒÔÀ´ÏµÄêÒªÂ¼¡¤¾íÒ»°ÙÆßÊ®Æß¡·,
60,Ezhou,Jinghu North Circuit,Ezhou,,1,lake or pond,within 2 li,unknown,inside,no,unknown,no,the Chunxi Period,1174-1189,initial construction,prefecture chief,unknown,unknown,£¨Ç¬Â¡£©½­ÏÄ_Ö¾15¾í ½­ÏÄ_Ö¾¾íÖ®Ò» ÇåÇ¬Â¡ÎåÊ®¾ÅÄê¿Ì±¾,·ÅÉú³ØÔÚ³ÇÄÚËÎ´¾_¿¤ÊØÍõ_Êè_Á¢
61,Fuzhou,Jinghu North Circuit,Fuzhou,,1,lake or pond,within 2 li,unknown,no more than 3 li outside,no,yes,no,the Tiansheng Period,1023-1032,initial construction,prefecture chief,no,unknown,¡¶È«ËÎÎÄµÚ¶şÊ®ËÄ²á¡¤¾íÎåÒ»¾Å¡¤·ÅÉú³Ø¼Ç¡·,
62,Xinyang,Jinghu North Circuit,Xinyang Military Prefecture,,1,lake or pond,within 2 li,unknown,inside,no,unknown,no,unknown,unknown,unknow,unknown,no,unknown,¡¶ÓßµØ¼ÍÊ¤¡¤¾íµÚ°ËÊ®¡¤¾°ÎïÏÂ¡·,
63,Xiangyin,Jinghu South Circuit,Tanzhou,Xiangyin County,1,lake or pond,2-10 li,pavilion,no more than 3 li outside,no,yes,yes,the 2rd year of the Baoyou Period,1254,renovation or relocation and reconstruction,county chief,no,unknown,¡¶È«ËÎÎÄµÚÈı°ÙÎåÊ®Ò»²á¡¤¾í°ËÒ»¶ş¶ş¡¤¶«ºş·ÅÉúÍ¤¼Ç¡·,
64,Chuzhou,Liangzhe East Circuit,Chuzhou,,1,lake or pond,within 2 li,pavilion,inside,yes,unknown,no,the 15th year of the Shaoxing Period,1145,initial construction,prefecture chief,unknown,unknown,£¨³É»¯£©_Öİ¸®Ö¾18¾íÊ×1¾í _Öİ¸®_¾íµÚÈı Ã÷³É»¯¶şÊ®¶şÄê¿Ì±¾,_³ØÔÚÍ¨»İ_ÄÚ_¿ı·»Ö®Î÷_ÇåÏã_ÏÂå©Ë®ÏàÍ¨____¼´¹ÅÖ®·ÅÉú³ØËÎ__Ê®ÎåÄêÖª¸®Ğì¶È½¨·ÅÉúÍ¤ÓÚÆäÉÏ___Ö®_Í¤¾Ã_´óÔª_Æä³Ø¾ÓÃñ_ÑÉ½ñÃñ¶à¼ÜÎİÆäÉÏ¾ÓÖ®
65,Qingyuan,Liangzhe East Circuit,Qingyuan Prefecture,,1,lake or pond,within 2 li,hall,3-10 li outside,no,yes,no,unknown,unknown,unknow,unknown,yes,unknown,¡¶±¦ÇìËÄÃ÷Ö¾¡¤¾íÊ®Ò»¡·¡¶È«ËÎÎÄµÚÊ®ËÄ²á¡¤¾í¶şÆßÎå¡¤ë·ÑÓÇìÔº·ÅÉú³Ø±®Ãú¡·,_¸£Ë®_Ôº×Ó³ÇÎ÷ÄÏÈıÀï°ë__Ë®_Ú¤µÀÔºË×_Ö®ºşĞÄËÂ»Ê³¯ÖÎÆ½ÖĞ½¨ __¸Ä__Ôº
66,Changguo,Liangzhe East Circuit,Qingyuan Prefecture,Changguo County,1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknow,others,no,unknown,¡¶±¦ÇìËÄÃ÷Ö¾¡¤¾í¶şÊ®¡·,´óÉúÌÃ Ö÷²¾Íõ×Óºà½¨Áî_´óÖÒ__¶÷²¨Í¤Ïà_ÄË×£ __·ÅÉúÖ®ËùÒ² 
67,Xiangshan,Liangzhe East Circuit,Qingyuan Prefecture,Xiangshan County,1,lake or pond,within 2 li,pavilion,no more than 3 li outside,no,unknown,no,unknown,unknown,unknow,unknown,no,unknown,¡¶±¦ÇìËÄÃ÷Ö¾¡¤¾í¶şÊ®Ò»¡·,·ÅÉú³Ø_ÄÏ°Ù²½
68,Shaoxing,Liangzhe East Circuit,Shaoxing Prefecture,,1,lake or pond,more than 10 li,pavilion,3-10 li outside,no,yes,yes,unknown,unknown,unknow,unknown,no,unknown,¡¶¼ÎÌ©»á»üÖ¾¡¤¾íÁù¡·,ÊÒ_ºşÔÚ_Ö®ÏÂ_·ÅÉú³Ø_³ØÓĞÏÌÈôÍ¤ÓÖÓĞÃ÷___ÇÚÍ¤_ÇÚÈ¡
69,Shangyu,Liangzhe East Circuit,Shaoxing Prefecture,Shangyu County,1,lake or pond,within 2 li,unknown,no more than 3 li outside,no,unknown,no,unknown,unknown,unknow,unknown,no,unknown,¡¶¼ÎÌ©»á»üÖ¾¡¤¾íÊ®¡·,ÉÏÓİ_·ÅÉú³ØÔÚ_ÄÏ¶ş°Ù²½
70,Shengxian,Liangzhe East Circuit,Shaoxing Prefecture,Shengxian County,1,lake or pond,within 2 li,pavilion,no more than 3 li outside,no,unknown,no,unknown,unknown,unknow,unknown,no,unknown,¡¶¼ÎÌ©»á»üÖ¾¡¤¾íÊ®¡·¡¶ØßÂ¼¡¤¾íÒ»¡·,·ÅÉú³Ø³ö±±_°ëÀïÓĞÍ¤Ãû¶÷²¨Í¤Ö®Ç°áá½ÔÓĞ³Ø
71,Xinchang,Liangzhe East Circuit,Shaoxing Prefecture,Xinchang County,1,lake or pond,within 2 li,pavilion,inside,no,unknown,no,the Qingyuan Period,1195-1201,initial construction,county chief,yes,unknown,£¨Ç¬Â¡£©ĞÂ²ı_Ö¾25¾í ĞÂ²ı_Ö¾¾íÖ®Áù ÇåÇ¬Â¡ÎåÊ®°ËÄêÔöĞŞ±¾,_½äËÂ ÔÚ_ÖÎ±±ËÂÓĞÖñÎ÷Í¤ËÎÖÆÃ¿Óö__ì¶Í¤·ÅÉúÒÔÉì_×£_ÔªÁùÄêÖª_ÌÕÔøì¶ËÂ±ğ_·ÅÉúÍ¤¾ã¾Ã_
72,Yuyao,Liangzhe East Circuit,Shaoxing Prefecture,Yuyao County,1,lake or pond,2-10 li,others,inside,no,unknown,no,unknown,unknown,unknow,unknown,no,unknown,¡¶¼ÎÌ©»á»üÖ¾¡¤¾íÊ®¡·,_Ò¦_·ÅÉú³ØÔÚ_ÄÏÒÔ_Î÷¸÷Ò»°ÙÎåÊ®²½Á¢Ê¯_½çÂ¡_¸ÄÔªÖª_ÊÂÍõ ¶È
73,Zhuji,Liangzhe East Circuit,Shaoxing Prefecture,Zhuji County,1,lake or pond,more than 10 li,bridge,no more than 3 li outside,yes,yes,no,unknown,unknown,unknow,unknown,no,unknown,¡¶¼ÎÌ©»á»üÖ¾¡¤¾íÊ®¡·,·ÅÉú³ØÔÚ__¶şÀïÖÜËÄÊ®ÀïÒ»Ãû·ÅÉúºşÌÆÌì_ÖĞ_Áî¹ùÃÜÖ®__ÌÁ¸ÈÌï¶şÊ®__³ØĞÄÓĞĞ¡É½_Èç___É½Æä_ÓĞºçÁº±â·ÅÉú_
74,Taizhou,Liangzhe East Circuit,Taizhou,,1,lake or pond,within 2 li,unknown,no more than 3 li outside,no,yes,no,unknown,unknown,unknow,unknown,no,unknown,¡¶¼Î¶¨³à³ÇÖ¾¡¤¾íÈı¡¤µØÀïÃÅÈı¡·,_ÄÏÓĞÍ¤Óö×£__ì¶ÆäµØ·ÅÉúÑÉ
75,Taizhou,Liangzhe East Circuit,Taizhou,,2,river or stream,unknown,bridge,no more than 3 li outside,yes,yes,no,unknown,unknown,unknow,unknown,no,unknown,¡¶¼Î¶¨³à³ÇÖ¾¡¤¾íÈı¡¤µØÀïÃÅÈı¡·,_ÄÏÓĞÍ¤Óö×£__ì¶ÆäµØ·ÅÉúÑÉ
76,Ninghai,Liangzhe East Circuit,Taizhou,Ninghai County,1,lake or pond,within 2 li,others,unknown,unknown,unknown,unknown,the Shaoxing Period,1131-1162,initial construction,county chief,yes,unknown,¡¶È«ËÎÎÄµÚ¶ş°Ù²á¡¤¾íËÄËÄ¶şËÄ¡¤·ÅÉú³Ø±®¡·,ÃîÏàËÂÖ®¾É³Ø
77,Yiwu,Liangzhe East Circuit,Wuzhou,Yiwu County,1,lake or pond,2-10 li,pavilion,no more than 3 li outside,no,yes,yes,the Shaoxing Period,1131-1162,initial construction,county chief,unknown,unknown,£¨¼Î¾¸£©Õã½­Í¨Ö¾72¾í Õã½­Í¨Ö¾¾íÁù Ã÷¼Î¾¸ËÄÊ®Äê¿¯±¾,_´¨ºşÔÚ_Î÷Ò»°ÙÎåÊ®²½ÖÜ»Ø¾ÅÀï_ÌïÉõ_É½´¨»¨Ä¾ÑÚÓ³Èç_¹ÊÔ»_´¨×ÔÎôºÃÊÂÕßÍùÍù½¨Í¤_ÓÚÉÏÒÔ_Íæ_ËÎ____Áî¶­_×à__·ÅÉú³Ø_ÌïÈç_Î¨½û_²¶½ñ¾°Ì©_ÖØ¼Ó_ÖÎ¹à¸È_²¶Î©ÃñËùÀûÒÓ
78,Anji,Liangzhe West Circuit,Anjizhou,,1,lake or pond,within 2 li,hall,inside,no,unknown,no,unknown,unknown,unknow,unknown,no,unknown,¡¶¼ÎÌ©ÎâĞËÖ¾¡¤¾í¶ş¡·,·ÅÉú³ØÔÚºşÖİ¸®ÄÜÈÊËÂ_ÖÜ»Ø_Ê®__±±¾à_³ÇÓĞ____
79,Deqing,Liangzhe West Circuit,Anjizhou,Deqing County,1,river or stream,within 2 li,pavilion,inside,no,yes,no,unknown,unknown,unknow,unknown,yes,unknown,£¨¿µÎõ£©µÂÇå__10¾í µÂÇå__¾íÖ®Ò» __Çå¿µÎõÊ®¶şÄê¿Ì±¾,·ÅÉú³Ø ÔÚÇ¬ÔªËÂÖ®Î÷ËÎ_Ã¿Óö___¾Í×ó_Í¤·ÅÉúÏªÉÏÒò¾ÃÛİÃ÷³ç_ÄêÖØ_
80,Changzhou,Liangzhe West Circuit,Changzhou,,1,unknown,unknown,pavilion,no more than 3 li outside,yes,unknown,no,unknown,unknown,unknow,unknown,no,unknown,¡¶ÏÌ´¾ÅşÁêÖ¾¡¤¾íÎå¹ÙËÂ¡·,·ÅÉúÍ¤_ÔÚĞĞ´º_Ö®Î÷±±áááã¿¤ÆÔ¾»_Í¤ááÓÖáã_Ö®Î÷´¾__ÍõÊØ¹çáãĞĞ´º_Ö®_ÄÏ
81,Changzhou,Liangzhe West Circuit,Changzhou,,2,unknown,unknown,pavilion,inside,no,unknown,no,unknown,unknown,unknow,unknown,no,unknown,¡¶ÏÌ´¾ÅşÁêÖ¾¡¤¾íÎå¹ÙËÂ¡·,·ÅÉúÍ¤_ÔÚĞĞ´º_Ö®Î÷±±áááã¿¤ÆÔ¾»_Í¤ááÓÖáã_Ö®Î÷´¾__ÍõÊØ¹çáãĞĞ´º_Ö®_ÄÏ
82,Changzhou,Liangzhe West Circuit,Changzhou,,3,unknown,unknown,pavilion,no more than 3 li outside,no,unknown,no,unknown,unknown,unknow,unknown,no,unknown,¡¶ÏÌ´¾ÅşÁêÖ¾¡¤¾íÎå¹ÙËÂ¡·,·ÅÉúÍ¤_ÔÚĞĞ´º_Ö®Î÷±±áááã¿¤ÆÔ¾»_Í¤ááÓÖáã_Ö®Î÷´¾__ÍõÊØ¹çáãĞĞ´º_Ö®_ÄÏ
83,Changzhou,Liangzhe West Circuit,Changzhou,,4,unknown,unknown,pavilion,no more than 3 li outside,yes,unknown,no,the Chunyou Period,1241-1252,renovation or relocation and reconstruction,unknown,no,unknown,¡¶ÏÌ´¾ÅşÁêÖ¾¡¤¾íÎå¹ÙËÂ¡·,·ÅÉúÍ¤_ÔÚĞĞ´º_Ö®Î÷±±áááã¿¤ÆÔ¾»_Í¤ááÓÖáã_Ö®Î÷´¾__ÍõÊØ¹çáãĞĞ´º_Ö®_ÄÏ
84,Yixing,Liangzhe West Circuit,Changzhou,Yixing County,1,unknown,unknown,pavilion,inside,no,unknown,no,unknown,unknown,unknow,unknown,no,unknown,¡¶ÏÌ´¾ÅşÁêÖ¾¡¤¾íÎå¹ÙËÂ¡·,Ó¾_Í¤_ÃûÅªÖÛÔÚÓ­__Ç°½ñ_·ÅÉúÖ®Ëù¹ÊÃûÖØĞŞÅşÁêÖ¾¾íµÚÎå
85,Jiaxing,Liangzhe West Circuit,Jiaxing Prefecture,,1,lake or pond,within 2 li,unknown,no more than 3 li outside,no,yes,no,unknown,unknown,unknow,unknown,no,unknown,¡¶ÓßµØ¼ÍÊ¤¡¤¾íµÚÈı¡¤¾°ÎïÏÂ¡·,ÔÚ¼Î__Î÷±±Ò»Àï¡£ÌÆ´ÌÊ·¶¡ÑÓ_µÃ½ğ__ÓÚ´Ë£¬¹Ê_Ö®½ğ_³Ø¡£½ñ_·ÅÉú³Ø¡£
86,Ganpu,Liangzhe West Circuit,Jiaxing Prefecture,Haiyan County,1,harbor,unknown,pavilion,3-10 li outside,no,yes,no,unknown,unknown,unknow,unknown,no,unknown,¡¶ä÷Ë®Ö¾¡¤ÉÏ¡·,·ÅÉú³ØÄÏ¶ÉÒÔ_±¾__Í¤ÓÚº£_ÊÕË°_½ñÖ®ÏÒ_Í¤Ò²Í¤Ö®__Ğ¡äĞÃ¿Óö ___¹ÙÂÊºÏ__ÈÎ¼Ä¾ÓÎÄÎä_°àÓÚ´Ë×£_·ÅÉú
87,Huating,Liangzhe West Circuit,Jiaxing Prefecture,Huating County,1,lake or pond,2-10 li,hall,inside,no,unknown,no,unknown,unknown,unknow,unknown,no,unknown,¡¶ÔÆ¼äÖ¾¡¤¾íÉÏ¡·,_è£__³Ø ÌÆÑåéà_Í¤Ê®_°´__ÔÚ_Î÷½ñÃûè£ºşÀÉ__Ëù¾ÓÏà_ÓĞÕ¬»ù´æÑÉ¶ø´óÖĞÏé·û__è£ºşÔÚ_Î÷±±ÈıÊ®ÎåÀïÖÜ_¾ÅÀïÎâÉĞ_____³ØÒòÒÔ_Ãû½ñ_Ö®Î÷ÄÏÓçÓĞ_ÙóÈıÀï¼´_ºşÒ²ÖĞÓĞÌÃ»ù½ñ_·ÅÉú³Ø
88,Jiangyin,Liangzhe West Circuit,Jiangyin Military Prefecture,,1,lake or pond,2-10 li,others,more than 10 li outside,no,yes,yes,the Shaoxing Period,1131-1162,initial construction,prefecture chief,no,unknown,¡¶È«ËÎÎÄµÚ¶ş°ÙÒ»Ê®²á¡¤¾íËÄÁùÆß_¡¤ÉÜĞËĞÂ´´·ÅÉú³Ø±®¼Ç¡·,·ÅÉú³ØÔÚ__ÈıÊ®ÎåÀïËù__ºşÊÇÒ²Ë®ËÄÖÜ__ÅÔÓĞÒ»Ê¯ĞÎÈç___Ê®ÁùÄê_Á¢³ØÃû__ËùÔÚÇàÉ½ËÎÖ¾ÔÆ¸É___¾ÅËùÊ¯·¤ÔÚ_É½·¤_ÁùÊ®_ÇØÊ¼»ÊÓûÒÔ¸¡º£ÒàÔ»·¤ÁºÃæÆ½_ÕÉ_½­Á÷ÖĞË®_²»Ã»ºÔÒà²»¸ß_
89,Lin'an,Liangzhe West Circuit,Linan Prefecture,,1,lake or pond,more than 10 li,hall,no more than 3 li outside,no,yes,yes,the Tianxi Period,1017-1021,initial construction,prefecture chief,yes,unknown,¡¶ÏÌ´¾ÁÙ°²Ö¾¡¤¾íÈıÊ®¶şÉ½´¨Ê®Ò»¡·¡¶È«ËÎÎÄµÚÊ®ËÄ²á¡¤¾í¶ş°ËÒ»¡¤º¼Öİ·ÅÉú³Ø¼Ç¡·,×ÔÊÇÒÔ_Ã¿_ËÄÔÂ°Ë¡¡ÈÕ¿¤ÈË___ì¶ºşÉÏËù»îÓğÃ«_½éÒÔ°Ù__
90,Changhua,Liangzhe West Circuit,Linan Prefecture,Changhua County,1,lake or pond,within 2 li,unknown,no more than 3 li outside,no,unknown,no,unknown,unknown,unknow,unknown,yes,unknown,¡¶ÏÌ´¾ÁÙ°²Ö¾¡¤¾íÈıÊ®°ËÉ½´¨Ê®Æß¡·,ÔÚÏØÎ÷ÖÎÆ½ËÂ
91,Fuyang,Liangzhe West Circuit,Linan Prefecture,Fuyang County,1,lake or pond,within 2 li,others,no more than 3 li outside,no,unknown,no,unknown,unknown,unknow,unknown,yes,unknown,¡¶ÏÌ´¾ÁÙ°²Ö¾¡¤¾íÈıÊ®°ËÉ½´¨Ê®Æß¡·¡¶È«ËÎÎÄµÚÒ»°Ù¾ÅÊ®¶ş²á¡¤¾íËÄ¶ş¶ş¾Å¡¤·ÅÉú³Ø¼Ç¡·,_ÔÚ__µ¤Ï¼_×ó__¶şÊ®ÄêÁî__½¨Î¾_Ñå¶Ë_¡¡ááÁî³Ì_ÒÆÖÃÍ¨__ÉÏ
