No.,geographic location,,,,,spatial form,,,site selecting,,,,process of construction,,,,,,notes,
,city,circuit,prefecture,county,order,water body,range,mark,distance from the city,close to traffic hubs,connected with existing waters,combined with scenic areas,year of construction/renovation (reign era),year of construction/renovation (common era),construction or renovation,Identity of the Founder,collabrating with religious organisations,economising resources and caring for the people,data source,orginal text
11,Xianyou,Fujian Circuit,Xinghua Military Prefecture,Xianyou County,1,lake or pond,within 2 li,pavilion,no more than 3 li outside,no,unknown,no,the 4th year of the Qiandao Period,1168,renovation or relocation and reconstruction,county chief,unknown,unknown,£¨ºëÖÎ£©°Ë_Í¨Ö¾87¾í °Ë_Í¨_¾íÖ®ÆßÊ®ËÄ Ã÷ºëÖÎ¿Ì±¾,¶÷²¨Í¤ ÔÚ_ÖÎÎ÷¶ş°Ù²½_Î÷ÌÁÖ®_ÌÁ¾Ã_ÒØÃñÇÖ_ËÎÇ¬µÀËÄÄêÖª____ÕıÖ®__·ÅÉú³Ø¶ø×÷Í¤ÆäÉÏÊÇ_Èğ_ÉúÒòÃûÍ¤Ô»Èğ_´¾_ÈıÄêÖª_²Ì´Î_ÖØ½¨Ò×½ñÃû½ñ_
12,Zhangpu,Fujian Circuit,Zhangzhou,Zhangpu County,1,lake or pond,within 2 li,unknown,no more than 3 li outside,yes,unknown,no,unknown,unknown,unknow,unknown,unknown,unknown,£¨__£©ÕÄÖİ¸®Ö¾33¾í ÕÄÖİ¸®Ö¾¾íÖ®Ê®¾Å Ã÷__ÔªÄê¿Ì±¾,·ÅÉú³Ø ÔÚ_Êø_Íâ_ÔÚ±±_ÍâÈıÀï_ËÎ¼Î¶¨ĞÁÎ´ÒØÁî__ÒÆ½ñËù_Í¤ÆäÉÏÔ»ÃÀ_Á¢Ê¯³Ø×óØ©Ïà_ÖÒ¶¨¹«_·ÅÉú³ØÈı´ó×Ö¿ÌÊ¯áá___ĞÂ_Î÷ºşÓû_ÆäÉÛÒÙÈ»²»_ËìÖ¹³Ø½ñ°ëÓÙ_ÃñÌï
13,Zhangpu,Fujian Circuit,Zhangzhou,Zhangpu County,2,lake or pond,within 2 li,pavilion,no more than 3 li outside,yes,unknown,no,the Jiading Period,1208-1224,renovation or relocation and reconstruction,county chief,unknown,unknown,£¨__£©ÕÄÖİ¸®Ö¾33¾í ÕÄÖİ¸®Ö¾¾íÖ®Ê®¾Å Ã÷__ÔªÄê¿Ì±¾,·ÅÉú³Ø ÔÚ_Êø_Íâ_ÔÚ±±_ÍâÈıÀï_ËÎ¼Î¶¨ĞÁÎ´ÒØÁî__ÒÆ½ñËù_Í¤ÆäÉÏÔ»ÃÀ_Á¢Ê¯³Ø×óØ©Ïà_ÖÒ¶¨¹«_·ÅÉú³ØÈı´ó×Ö¿ÌÊ¯áá___ĞÂ_Î÷ºşÓû_ÆäÉÛÒÙÈ»²»_ËìÖ¹³Ø½ñ°ëÓÙ_ÃñÌï
14,Changtai,Fujian Circuit,Zhangzhou,Changtai County,1,lake or pond,within 2 li,unknown,inside,no,no,no,the Chunxi Period,1174-1189,initial construction,unknown,unknown,unknown,£¨__£©ÕÄÖİ¸®Ö¾33¾í ÕÄÖİ¸®Ö¾¾íÖ®¶şÊ®Èı Ã÷__ÔªÄê¿Ì±¾,·ÅÉú³Ø ÔÚ_µ½ÌÁ_ËÎ´¾_ĞÁº¥ÁîÁÖ±û_¼Î¶¨_Áî»ÆÃÏÓÀ_ÓÚ³¯¾©__½ñ_
15,Changtai,Fujian Circuit,Zhangzhou,Changtai County,2,river or stream,unknown,bridge,inside,yes,yes,no,the Jiading Period,1208-1224,renovation or relocation and reconstruction,unknown,unknown,unknown,£¨__£©ÕÄÖİ¸®Ö¾33¾í ÕÄÖİ¸®Ö¾¾íÖ®¶şÊ®Èı Ã÷__ÔªÄê¿Ì±¾,·ÅÉú³Ø ÔÚ_µ½ÌÁ_ËÎ´¾_ĞÁº¥ÁîÁÖ±û_¼Î¶¨_Áî»ÆÃÏÓÀ_ÓÚ³¯¾©__½ñ_
16,Chaozhou,Guangnan East Circuit,Chaozhou,,1,river or stream,2-10 li,hall,no more than 3 li outside,no,yes,no,the 2rd year of the Qiandao Period,1166,renovation or relocation and reconstruction,prefecture chief,no,unknown,¡¶È«ËÎÎÄµÚÒ»°Ù°ËÊ®Áù²á¡¤¾íËÄ_°ËËÄ¡¤·ÅÉú³Ø¼Ç¡·,
17,Meizhou,Guangnan East Circuit,Meizhou,,1,lake or pond,within 2 li,pavilion,unknown,unknown,unknown,unknown,unknown,unknown,unknow,unknown,no,unknown,¡¶ÓßµØ¼ÍÊ¤¡¤¾íµÚÒ»°Ù¶ş¡¤¾°ÎïÉÏ¡·,
18,South Xiongzhou,Guangnan East Circuit,South Xiongzhou,,1,lake or pond,within 2 li,unknown,inside,no,unknown,no,unknown,unknown,unknow,unknown,unknown,unknown,£¨__£©__Í¨Ö¾72¾í __Í¨Ö¾¾íÖ®ÈıÊ®¶ş Ã÷__ÈıÊ®Äê¿Ì±¾,·ÅÉú³Ø ËÎÔÚ³Ç±±Ò×ºÔ´¾_³õ_Æ½Õş_ÍâÎåÀï½­Ë®ÉÏÏÂ½ûÃñ_î¹
19,South Xiongzhou,Guangnan East Circuit,South Xiongzhou,,2,river or stream,2-10 li,others,no more than 3 li outside,yes,yes,no,the Chunxi Period,1174-1189,renovation or relocation and reconstruction,unknown,unknown,unknown,£¨__£©__Í¨Ö¾72¾í __Í¨Ö¾¾íÖ®ÈıÊ®¶ş Ã÷__ÈıÊ®Äê¿Ì±¾,·ÅÉú³Ø ËÎÔÚ³Ç±±Ò×ºÔ´¾_³õ_Æ½Õş_ÍâÎåÀï½­Ë®ÉÏÏÂ½ûÃñ_î¹
20,Zhaoqing,Guangnan East Circuit,Zhaoqing Prefecture,,1,lake or pond,within 2 li,pavilion,inside,no,unknown,no,the Xianchun Period,1265-1274,renovation or relocation and reconstruction,unknown,unknown,unknown,£¨__£©__Í¨Ö¾72¾í __Í¨Ö¾¾íÖ®ËÄÊ®Æß Ã÷__ÈıÊ®Äê¿Ì±¾,·ÅÉú³Ø _Ö¾ÔÚ¸®ÖÎÎ÷ÄÏÓç³ØÉÏÓĞÍ¤ËÎÏÌ´¾¶şÄê¿¤ÊØ_³ç¡õ½¨áá_¼ÎÌ©Òô_ºî_Ö®
